OBJECTID,GIS_ID,Address,GravelParking,PavedParking,TotalBaseballDiamonds,RegulationDiamond,RegulationDiamondLighted,RegulationDiamondIrrigated,PeeweeDiamond,PeeweeDiamondLighted,PeeweeDiamondIrrigated,OtherDiamonds,FullSizeSoccer,FullSizeSoccerLighted,FullSizeSoccerIrrigated,TournamentSizeSoccer,TournamentSizeSoccerLighted,TournamentSizeSoccerIrrigated,MiniSoccer,FullSizeFootball,FullSizeFootballLighted,FullSizeFootballIrrigated,ArenaName,NumberOfIcePads,TennisCourts,TennisCourtsLighted,MultiUsePads,PoolName,PoolType,NumberOfPools,WadingPools,SprayPads,PlayStructure,PlayYear,WalkingTrail,PavedPathway,TotalPathway,FullSizeBasketball,HalfSizeBasketball,SkateboardPark,Swings,SwingSets,OffLeashPark,CommunityCentre,RecreationCentre,FieldHouse,ParkCategory,OtherFacilities,RunningTrack,GolfCourse,ConcessionStand,PicnicShelter,DrinkingFountain,Benches,PicnicTable,Washroom,OutdoorRink,ParkSign,GarbageCan,Light,CampusCommunity,BoatRamp,AdultExerciseStation,SwmPond,NaturalizationProgram,CommunityGarden,YearParkAdded,Pnumber,GIS_FeatureKey,VolleyballCourts,CricketPitch,PickleballCourt,ShapeSTArea,ShapeSTLength
2973,1,1085 Commissioners Rd W,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0, ,0,0,0,0, , ,0,1,1,1,2016,1259.1,13086.6,14345.7,0,0,1,12,4,N,N,N,Y,R,"STORYBOOK GARDENS, MULTI-PURPOSE ROOM, GRAHAM ARBORETUM, SPRINGBANK GARDENS, GUY LOMBTDO PAVILION, WONDERLAND BANDSHELL, MEMORY WALL/ARBORETUM, ADULT FITNESS EQUIPMENT - 2019",N,N,Y,Y,Y,1,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N, ,P-001,Springbank Park,0,0,0,708656.4473,8910.305362
2974,2,23 Metamora Cres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,76.213,0,76.213,0,0,0,0,0,N,N,N,N,E, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,Y,N, ,P-002B,Medway Valley Heritage Forest Esa - South,0,0,0,5017.710693,537.9062907
2975,3,2a Grosvenor St,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,3,0,0,Gibbons Park Community Pool,Outdoor,1,0,1,2,2002,0,2319.3958,2319.3958,0,0,0,4,1,N,N,N,Y,,Kiwanis Music Park,N,N,N,Y,Y,1,Y,Y,N,Y,Y,Y,N,N,N,N,Y,N, ,P-003,Gibbons Park,0,0,0,257977.6882,3083.569612
2976,4,25 Wilson Ave,0,100,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,56.704,56.704,0,0,0,0,0,N,N,N,N,, ,N,N,Y,N,Y,4,N,Y,N,Y,Y,Y,N,N,N,N,N,N, ,P-005,Labatt Park,0,0,0,32478.5603,766.5080252
2977,5,580 Clarence St,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,1747.0315,1747.0315,0,0,1,0,0,N,N,N,N,,"BANDSHELL, CARILLON, INTERPRETIVE SIGNAGE, LIGH COLUMNS",N,N,N,Y,Y,50,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N, ,P-006,Victoria Park,0,0,0,57340.37329,1101.476957
2978,6,20 Granville St,0,186,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,Kinsmen Recreation,2,0,0,0, , ,0,0,1,1,2019,0,1230.0533,1230.0533,1,1,1,6,2,N,Y,N,N,D, ,N,N,N,N,Y,1,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y, ,P-007,West Lions Park And Kinsmen Recreation Centre,0,0,0,80268.2041,1465.015041
2979,7,50 Sycamore St,0,75,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,Silverwoods Arena,1,0,0,0,Silverwoods Park Community Pool,Outdoor,2,1,0,1,1996,0,262.2758,262.2758,0,0,0,0,0,N,N,Y,N,,SHUFFLE BOARD,N,N,N,N,N,1,Y,Y,N,Y,Y,Y,N,N,N,N,N,N, ,P-008,Silverwoods Park,0,0,0,35687.36206,779.1023963
2980,8,675 Grosvenor St,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Carling Recreation Centre,2,3,0,1, , ,0,0,0,1,2018,0,287.5545,287.5545,1,1,0,2,1,N,N,Y,N,N,"HALL, MEETING ROOM",N,N,N,N,N,4,Y,Y,N,Y,Y,Y,N,N,N,N,N,N, ,P-009,Carling Park,0,0,0,30472.03711,797.1779587
2981,9,1570 Hillside Dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,0,0,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,Y,N, ,P-010,Hillside Ravine,0,0,0,6920.700928,684.821367
2982,10,640 Adelaide St N,0,20,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,1,0,1,2003,0,763.9,763.9,0,0,0,2,1,N,N,N,Y,N,"HORSESHOE PIT, BATTING CAGE",N,N,N,Y,N,1,Y,Y,N,Y,Y,Y,N,N,N,N,N,N, ,P-011,Mcmahen Park,0,0,0,26979.59033,676.2099338
