GIS_FeatureKey,Address,X,Y
Walter J. Blackburn Memorial Fountain,Mitchell A. Baran Park - 10 Riverside Dr London ON,,
Carolinian Forest Tree Art,City Hall London ON,,
Cenotaph Memorial Monument,Victoria Park London ON,,
Engine 86,Queens Park - 925 Dundas St London ON,,
Farquarhson Mural,Farquarhson Arena - 411 Tecumseh Ave E London ON,,
London Wall,Ivey Park - 1 Dundas St London ON,,
Holy Roller,Victoria Park London ON,,
Japanese Centennial Sculpture,Reg Cooper Square London ON,,
Jubilee Square Barrel,Jubilee Square - Budweiser Gardens - 99 Dundas St London ON,,
Jubilee Square Water Fountain,Jubilee Square - Budweiser Gardens - 99 Dundas St London ON,,
Kiwanis Bandshell Sculpture,Victoria Park London ON,,
McMahen Park Limestone Gates,McMahen Park - 640 Adelaide St N London ON,,
Medway Community Mural,Medway Arena - 119 Sherwood Forest Sq London ON,,
People and the City Monument,460 Wellington St London ON,,
Quebec & Lorne Traffic Signal Box Mural,510 Quebec St London ON,,
Springbank Pumphouse Date Stone,Springbank Park - 950 East Springbank Gate London ON,,
Under the Sea Mural,Oakridge Arena - 825 Valetta St London ON,,
Canadian Veterans Memorial and Carillon,Victoria Park London ON,,
Womens Memorial Monuments,Victoria Park London ON,,
Crimean War Cannons,Victoria Park London ON,,
Pro Patria Boer War Memorial,Victoria Park London ON,,
Release Sculpture,Reg Cooper Square London ON,,
Forks Art Wall,Ivey Park - 1 Dundas St London ON,,
Ludwig Van Beethoven,Rose Garden - 645 Springbank Dr London ON,,
Tolpuddle Good Hands Sculpture,Ivey Park -  331 Thames St London ON,,
Racoons on Bell Box Mural,285 Queens Ave London ON,,
Cougar on signal box mural,442 Adelaide St N London ON,,
Charley Fox Memorial Sculpture,Hale St/Trafalgar St Roundabot - 1385 Trafalgar St London ON,,
Bradley Pedestrian Tunnel Murals,Optimist Park - 560 Bradley Ave London ON,,
Terry Fox Monument,109 Greenside Ave London ON,,
Simcoe School War Memorial,220 Simcoe St London ON,,
LAV III Monument,RCR Museum - 701 Oxford St E London ON,,
SOHO Benches,Falls View Park London ON,,
SOHO Benches,Meredith Park London ON,,
London Fallen Fire Fighter's Memorial,No. 1 Fire Hall - 400 Horton St E London ON,,
Soap Factory Monument,Richard B. Harrison Park - 205 South St London ON,,
Sentinel,Mitchell A. Baran Park - 10 Riverside Dr London ON,,
Fire Station No. 12 Mosaic Compass,NO. 12 Fire Station - 275 Boler Rd London ON,,
Fire Station No. 2 Bas-Relief Panels,No. 2 Fire Hall - 1103 Florence St London ON,,
Greenway Park Mural,Greenway Park - 109 Greenside Ave London ON,,
Oxford Street Bridge Mural,Bridge over Thames River between Talbot St and Gunn St London ON,,
Paul Peel Fountain Base,Dearness Home - 710 Southdale Rd E London ON,,
Wharncliffe Bridge Mural - Go With the Flow,Wharncliffe bridge over Thames River London ON,,
Tempo VII - Guy Lombardo Hydroplane Raceboat and Trailer,Canadian Jet Aircraft Museum - 2465 Aviation Lane London ON,,
Paul Peel Fountain (Wall),Campbell Memorial Park - 380 Dundas St London ON,,
Oxford Street East Gateway,Oxford St E/Veterans Memorial Pky London ON,,
Don Guard Monument,Jesse Davidson Park - 731 Viscount Rd London ON,,
Egerton Sewer Memorial,Hamilton Rd and Trafalgar St London ON,,
Doidge Park Monument,Doidge Park - 300 Cromwell St London ON,,
Lambeth Cenotaph,Lambeth Veterans Park - 4328 Colonel Talbot Rd London ON,,
