Name,Address,X,Y
Walter J. Blackburn Memorial Fountain,Mitchell A. Baran Park - 10 Riverside Dr,0,0
Carolinian Forest Tree Art,City Hall ,13.84210621,44.87025135
Cenotaph Memorial Monument,Victoria Park ,-0.034212953,51.53905185
Engine 86,Queens Park - 925 Dundas St,0,0
Farquarhson Mural,Farquarhson Arena - 411 Tecumseh Ave E,0,0
London Wall,Ivey Park - 1 Dundas St ,0,0
Holy Roller,Victoria Park ,-0.034212953,51.53905185
Japanese Centennial Sculpture,Reg Cooper Square ,0,0
Jubilee Square Barrel,Jubilee Square - Budweiser Gardens - 99 Dundas St ,0,0
Jubilee Square Water Fountain,Jubilee Square - Budweiser Gardens - 99 Dundas St ,0,0
Kiwanis Bandshell Sculpture,Victoria Park ,-0.034212953,51.53905185
McMahen Park Limestone Gates,McMahen Park - 640 Adelaide St N ,0,0
Medway Community Mural,Medway Arena - 119 Sherwood Forest Sq ,-81.3037513,43.0027686
People and the City Monument,460 Wellington St ,-82.39271994,42.96865709
Quebec & Lorne Traffic Signal Box Mural,510 Quebec St ,-123.1021466,49.2775607
Springbank Pumphouse Date Stone,Springbank Park - 950 East Springbank Gate ,0,0
Under the Sea Mural,Oakridge Arena - 825 Valetta St ,0,0
Canadian Veterans Memorial and Carillon,Victoria Park ,-0.034212953,51.53905185
Womens Memorial Monuments,Victoria Park ,-0.034212953,51.53905185
Crimean War Cannons,Victoria Park ,-0.034212953,51.53905185
Pro Patria Boer War Memorial,Victoria Park ,-0.034212953,51.53905185
Release Sculpture,Reg Cooper Square ,0,0
Forks Art Wall,Ivey Park - 1 Dundas St ,0,0
Ludwig Van Beethoven,Rose Garden - 645 Springbank Dr ,0,0
Tolpuddle Good Hands Sculpture,Ivey Park -  331 Thames St ,-81.25618726,42.9815423
Racoons on Bell Box Mural,285 Queens Ave ,1.0650681,51.2816557
Cougar on signal box mural,442 Adelaide St N ,-74.09523859,41.6363692
Charley Fox Memorial Sculpture,Hale St/Trafalgar St Roundabot - 1385 Trafalgar St ,0,0
Bradley Pedestrian Tunnel Murals,Optimist Park - 560 Bradley Ave ,0,0
Terry Fox Monument,109 Greenside Ave ,-80.03972564,40.41212274
Simcoe School War Memorial,220 Simcoe St ,-76.96251835,44.24610975
LAV III Monument,RCR Museum - 701 Oxford St E ,0,0
SOHO Benches,Falls View Park ,-81.2462199,38.1262186
SOHO Benches,Meredith Park ,143.6127154,-38.2692813
London Fallen Fire Fighter's Memorial,No. 1 Fire Hall - 400 Horton St E ,0,0
Soap Factory Monument,Richard B. Harrison Park - 205 South St ,0,0
Sentinel,Mitchell A. Baran Park - 10 Riverside Dr ,0,0
Fire Station No. 12 Mosaic Compass,NO. 12 Fire Station - 275 Boler Rd ,0,0
Fire Station No. 2 Bas-Relief Panels,No. 2 Fire Hall - 1103 Florence St ,0,0
Greenway Park Mural,Greenway Park - 109 Greenside Ave ,0,0
Oxford Street Bridge Mural,Bridge over Thames River between Talbot St and Gunn St ,0,0
Paul Peel Fountain Base,Dearness Home - 710 Southdale Rd E ,0,0
Wharncliffe Bridge Mural - Go With the Flow,Wharncliffe bridge over Thames River ,0,0
Tempo VII - Guy Lombardo Hydroplane Raceboat and Trailer,Canadian Jet Aircraft Museum - 2465 Aviation Lane ,0,0
Paul Peel Fountain (Wall),Campbell Memorial Park - 380 Dundas St ,0,0
Oxford Street East Gateway,Oxford St E/Veterans Memorial Pky ,0,0
Don Guard Monument,Jesse Davidson Park - 731 Viscount Rd ,0,0
Egerton Sewer Memorial,Hamilton Rd and Trafalgar St ,-1.1169358,50.8468755
Doidge Park Monument,Doidge Park - 300 Cromwell St ,0,0
Lambeth Cenotaph,Lambeth Veterans Park - 4328 Colonel Talbot Rd ,0,0
