Address,X,Y
1085 Commissioners Rd W,-81.31783819,42.95556296
23 Metamora Cres,-81.29124945,43.00355162
2a Grosvenor St,-81.2596977,42.9985193
25 Wilson Ave,170.4896125,-45.9036078
580 Clarence St,172.6039687,-43.5383487
20 Granville St,-81.2641185,42.9865395
50 Sycamore St,-71.32004476,41.49939315
675 Grosvenor St,-81.235544,43.005124
1570 Hillside Dr,-119.820645,39.54444529
640 Adelaide St N,-81.23497703,42.99612345
612 Hale St,-71.1289078,42.2597269
1545 Trafalgar St,-2.2547641,53.4964076
1579 Gore Rd,-88.4551947,41.38576609
1580 Gore Rd,-88.4550904,41.385933
750 Whetter Ave,-81.2295626,42.9657147
85 Downing Cres,-79.72370741,44.32765695
1731 Churchill Ave,1.1799514,51.0948728
194 Brampton Rd,-81.23436,43.008958
850 Sunninghill Ave,-119.1702153,35.3501968
2835 Sunningdale Rd E,-124.4389684,49.3500302
825 Valetta St,-81.30554407,42.97533974
450 Nelson St,-75.6805241,45.4253485
555 Wharncliffe Rd S,-81.26024325,42.9549594
300 Cromwell St,-82.40044343,42.97163037
75 Cliftonvale Ave,-81.26762676,42.96794697
16 Fernley Ave,-81.2663372,42.9923488
311 Marion St,-73.62364065,40.64096973
150 Helena Ave,-119.6907498,34.4144058
170 Helena Ave,-119.690809,34.41444922
800 High Holborn St,151.2122441,-33.8899326
39 Chesterfield Ave,-1.261748292,52.89522515
1308 Norman Ave,-1.9826322,52.4636667
117 Tweedsmuir Ave,-79.4138227,43.6851969
100 Wychwood Pk,-81.292411,43.003579
360 Colville Blvd,-81.329425,42.9561951
26 Duchess Ave,-73.20363151,44.43802613
531 Ridout St N,-81.25559862,42.98629694
10 Hazelwood Ave,-63.4750845,44.9903154
290 Trott Dr,-81.27893492,42.99377005
1221 Sandford St,152.9942539,-27.490726
640 Winblest Ave,-81.22957373,42.94458583
149 Odessa Ave,-81.27142219,42.95513668
713 Butler Ave,-75.51437735,39.78028797
188 Base Line Rd W,-81.27389265,42.95821265
651 Westwood Dr,-2.0072755,52.4009289
50 Rollingwood Cir,-81.289171,43.002496
108 Lonsdale Dr,-81.2990902,43.0010899
881 Kelly St,-117.3579945,33.17537254
46 Wood St,-71.36850618,42.4591182
671 Viscount Rd,-1.9360566,52.690764
21 Rosel Cres,-81.2458251,42.9630279
237 Deveron Cres,-81.1952364,42.9549179
41 Greenfield Dr,-79.54820932,43.6376037
1948 Wavell St,-81.16786231,43.00227269
112 Ebury Cres,-81.21318188,42.94846732
510 Berkshire Dr,-121.8832406,37.2799885
1207 Royal York Rd,-79.4951232,43.6084279
429 Village Green Ave,-81.2844209,42.9525309
151 Sunnyside Dr,-119.8303768,39.53310983
1030 Mitchell St,-113.9985703,46.88133927
955 Willow Dr,-2.7277007,54.3239999
699 Thornwood Dr,-4.3214833,55.8716111
150 Chelsea Ave,-90.04298899,35.16343152
65 Hartson Rd,-81.31753919,42.96180795
300 Dufferin Ave,-77.583442,44.0992437
65 Tweed Cres,-81.23368943,43.04026727
70 Genevive Cres,-81.2155706,43.0149207
760 Sevilla Park Pl,-81.2359464,43.012516
806 Dalkeith Ave,-81.24154199,43.03623654
65 Victor St,-71.41827218,41.83715089
380 Dundas St,-80.76090222,43.12936778
1 Adelaide St S,-81.2255029,42.974344
284 Admiral Dr,-76.52621617,38.98929808
2 Carfrae Cres,-81.2451993,42.9747952
50 Carfrae St,-4.2954553,55.8653202
80 Longview Crt,-80.65834639,40.92468687
1210 Oxford St W,-81.32398582,42.9745711
510 Gainsborough Rd,0.8693838,51.8819437
427a Castlegrove Blvd,-81.29357753,42.99378178
246 Epworth Ave,-81.2590484,43.01138637
5 St Lawrence Blvd,-81.26428582,42.94620203
12 Glass Ave,-81.19177685,42.9882679
650 Osgoode Dr,-81.2084565,42.9422272
784 Viscount Rd,-1.9360566,52.690764
1428 Hastings Dr,-81.26368875,43.02699751
640 Upper Queen St,-81.23906816,42.94867059
385 Grand View Ave,-90.98138491,38.35137379
323 Hudson Dr,-87.38812685,36.55743819
234 Cairn St,-81.20493157,42.96567578
1375 Clarke Rd,-75.14375459,40.13645849
561 Griffith St,-75.065507,40.064732
197 Wellington Rd,-73.66266667,40.73208611
427 Wonderland Rd S,-81.29364615,42.96090632
817 Nixon Ave,-119.8201792,39.51671073
525 Hamilton Rd,-1.5006101,52.276033
725 Grenfell Dr,-1.9335758,52.469388
185 Mcnay St,-81.222101,43.0133725
1050 Victoria Dr,-94.76757581,32.5191207
30 McDonald Ave,-80.72849596,41.18180008
1220 Adelaide St N,-81.2475296,43.0208208
196 Mcmaster Dr,-81.29410036,42.9426422
28 Clarke Rd,-71.25667575,42.29756845
90 Mackay Ave,-79.44604126,43.67649799
29 Shaftesbury Ave,-1.29625685,52.91975
325 Egerton St,-1.1495584,52.963712
200 Hill St,-82.45174327,42.88868501
1250 Richmond St,-81.26953908,43.01507192
2225 Colonel Talbot Rd,-81.32017298,42.94850821
444 Kathleen Ave,-82.37991495,42.96943834
1278 Jalna Blvd,-81.23176123,42.92591131
1119 Jalna Blvd,-81.228404,42.9314339
1735 Culver Dr,-102.1143742,32.00753268
25 Fourwinds Rd,-81.32235817,42.9431045
150 Vaubois Pl,-81.15787863,43.00329264
1071 Farnsborough Cres,-81.19707197,43.01672318
996 Thistledown Way,-81.30791922,42.99499274
500 Hyde Park Rd,-76.24978746,36.93127715
102 Brandy Lane Rd,-81.31223399,42.9973913
80 Chalet Cres,172.8330774,-42.5150014
730 Proudfoot Lane,-81.28935329,42.988274
693 Proudfoot Lane,-81.28831363,42.98565756
580 Boler Rd,-81.32898764,42.94498826
55 Danielle Cres,-81.167784,42.9739441
430 Hyde Park Rd,-1.8776247,53.7155302
136 Cavendish Cres,-81.26711499,42.98042972
145 Rhine Ave,-81.2121816,43.00971327
449 Barker St,-87.78536102,42.73800604
325 Highview Ave E,-81.25524658,42.95043778
1010 Princess Ave,-123.0845695,44.0015715
530 Charlotte St,-83.06052784,42.34274553
65 Elvira Cres,-81.24071158,42.93849003
500 Huron St,-81.8798007,42.9471268
560 Bradley Ave,-85.29840029,34.71479672
552 Crestwood Dr,-117.352709,33.224157
328 Castlegrove Blvd,-81.28637346,42.99457255
741 Lenore St,-86.75435885,36.16507464
2150 River Rd,-77.3808971,39.0812915
2115 River Rd,151.0525234,-33.8217238
799 Homeview Rd,-81.2524955,42.9428687
457 Belvedere Pl,-122.5894515,48.18444946
1560 Commissioners Rd W,-81.35159276,42.96537701
69 Lynngate Grove,-81.29770814,42.94899411
205 South St,-98.17900781,31.05968081
1225 Adelaide St N,-81.2475296,43.0208208
695 Waterloo St,151.298496,-33.7131471
11 Ruskin Crt,145.1610184,-37.7190189
15 Dunkirk Pl,-81.24975123,42.96401141
828 Deveron Cres,-81.1952397,42.9623805
35 Quinella Dr,-79.6028142,43.7243697
731 Viscount Rd,-1.9360566,52.690764
645 Springbank Dr,-81.29675088,42.96197854
1305 Brydges St,-81.19969115,42.98888786
1345 Cheapside St,-81.212105,43.014075
860 Deveron Cres,-81.1954659,42.9679694
855 Deveron Cres,-81.1955373,42.9677775
211 Whisperwood Ave,-81.32404884,42.9479192
1345 Bentley Dr,-81.20701732,43.02598685
63 Meadowridge Rd,-73.12555809,41.33202967
139 Pinebrook Pl,-81.27290352,43.0217597
1985 Wavell St,-81.16767341,43.00045547
265 Bournemouth Dr,-121.8747423,37.2727076
235 Oakland Ave,-71.20153745,42.71980315
3982 West Graham Pl,-81.3205858,42.9161701
5a Selden Crt,-73.0381622,40.86518931
104 Parks Edge Cres,-81.3073391,42.94626271
50 Northcrest Dr,-95.82961971,41.27211878
6536 Bradish Rd,-81.196602,42.8655369
3370 Homewood Lane,-81.33947295,42.92443905
580 Osgoode Dr,-81.2130645,42.9422472
88 Lacey Cres,-81.23861273,42.93044341
176 Pawnee Rd,-74.32109457,40.67042214
1344 Amberwood Rd,-91.95851562,36.49127488
745 Windermere Rd,-89.9406933,35.2387497
65 Ann St,170.485929,-45.8686054
48 Hawthorne Rd,-61.50512649,45.97514739
1830 Aldersbrook Rd,0.0285256,51.5627873
161 Empress Ave,-78.8066041,42.98412403
280 Millbank Dr,-81.20846894,42.95199842
17 Becher St,7.032216998,51.17575135
15 Wharncliffe Rd S,-81.26261979,42.9795335
10 Becher St,7.155801254,51.1623373
571 Santa-monica Rd,-82.17842822,36.62076864
142 Kipling Ave,-74.33466878,40.69322326
83 Dennis Ave,-1.220713576,52.93625855
224 Worthington Ave,-79.83403,40.315659
1196 Southdale Rd E,-81.20407276,42.94552133
485 Pond Mills Rd,-81.1916197,42.9322031
257 Ambleside Dr,-76.55457557,39.09486177
15 Mclean Dr,173.7695391,-41.2887327
530 Third St,-82.26012214,27.93146508
64 Cayuga Cres,-81.1948013,43.0314196
380a Millbank Dr,-81.20507727,42.9496854
1375 Clarke Rd,-75.14375459,40.13645849
16 Fitzroy Pl,152.971578,-27.6319646
1070 Quinton Rd,-74.377116,41.186044
1040 Viscount Rd,-1.9360566,52.690764
635 Boler Rd,-89.14621315,32.54794353
520 Hutton Pl,-118.4255923,34.1262214
270 Ellerslie Rd,-63.9720567,46.598317
150 Bexhill Dr,-82.79872424,39.98986657
53 Tetherwood Blvd,-81.255906,43.018104
1499 Adelaide St N,-81.2475296,43.0208208
650 Windermere Rd,-81.25578495,43.02134859
15 Meadowlily Rd N,-81.18797834,42.97359719
1139 Hamilton Rd,-1.5006101,52.276033
1510 Commissioners Rd E,-81.17785496,42.96410328
3901 West Graham Pl,-81.3205858,42.9161701
457 Riverside Dr,-95.9844345,36.1153645
32 Pond Mills Rd,-81.2090488,42.9723456
626 Wonderland Rd N,-81.3072762,43.01282
481 Ridout St N,-81.25545362,42.98483115
67 Springbank Dr,-81.2665261,42.9754743
60 Evergreen Ave,-74.20261259,40.6927812
1017 Western Rd,-81.27415239,42.99627469
842 Railton Ave,-2.2613762,53.454671
1a Adelaide St N,-78.7481531,44.3525779
99 Norlan Ave,-81.19204269,42.97566187
335 Salisbury St,18.512095,-33.8063875
769 Baransway Dr,0,0
1050 Crumlin Sdrd,0,0
4310 Colonel Talbot Rd,-81.2997512,42.9093133
128 King St,-81.98668025,43.10442235
910 Commissioners Rd W,-81.31260633,42.95388738
37 Ponds Edge Crt,-73.38983435,40.84289086
1455 Hamilton Rd,-1.5006101,52.276033
2355 River Rd,-77.3808971,39.0812915
2315 River Rd,-77.3808971,39.0812915
1570 Oxford St W,-81.349903,42.968213
5 Richmond St,170.4869439,-45.8986503
411 Tecumseh Ave E,-81.24154865,42.96961294
101 Windermere Rd,-89.9406933,35.2387497
1424 Corley Dr,-81.28272109,43.01049026
15 Ridout St S,-81.251308,42.9772257
1475 Brydges St,-81.1912468,42.99221065
250 Halls Mill Rd,-86.54472345,35.55170201
15 Tommy Hunter Way,-81.2003135,42.9753821
119 Sherwood Forest Sq,-81.304071,43.00339433
1045 Wonderland Rd N,-81.30254589,43.00280733
331 Thames St,150.9647964,-33.8320557
1720 Culver Dr,-102.1141531,32.00746587
1700 Cheapside St,-72.589354,42.570668
869 Commissioners Rd W,-81.310866,42.9537185
2 Homan St,5.9537099,52.9559939
1343 Adelaide St N,-81.249906,43.024992
320 Hyde Park Rd,-75.73071033,39.78987217
56 Wellington St,-1.1468653,52.9601654
410 Scenic Dr,-87.40160464,34.13227984
557 Wonderland Rd N,-81.28970632,42.9783226
130 Briscoe St W,-81.2540766,42.9667849
7112 Beattie St,151.1791356,-33.8580765
320 Bradley Ave,-74.13161863,40.60333995
396 Riverside Dr,-74.50823983,39.51052593
11 Smallman Dr,-80.03908675,44.48967484
71 Grasmere Cres,151.2809657,-33.7270761
1955 Aldersbrook Rd,0.0285256,51.5627873
1950 Aldersbrook Rd,0.0285256,51.5627873
99 Dundas St,-80.77774976,43.12717421
520 Riverside Dr,-61.399021,10.522
34 Bellwood Cres,-81.23128036,43.00436062
33 Bellwood Cres,-81.2313759,43.0043646
370 Chippendale Cres,-81.21126486,42.96335987
133 Optimist Park Dr,-81.335843,42.93856256
650 Riverside Dr,-95.9844345,36.1153645
1695 Clarke Rd,-80.7714017,43.0948034
656 Elizabeth St,-81.751475,30.328612
