Address,X,Y
"1085 Commissioners Rd W, London, ON N6K 4Y6",-81.31783819,42.95556296
"100 Wychwood Park, London, ON N6G 1R3",-81.29124945,43.00355162
"2 Grosvenor St, London, ON N6A 1Y4",-81.2596977,42.9985193
"25 Wilson Ave, London, ON N6H 1X2",-81.25946799,42.98310066
"580 Clarence St, London, ON N6A 3N1",-81.24844683,42.98928774
"20 Granville St, London, ON N6H 2B1",-81.2641185,42.9865395
"50 Sycamore St, London, ON N5Z 1K7",-81.20574829,42.98402594
"33 Bellwood Crescent, London, ON N5Y 2C5",-81.235544,43.005124
"Hillside Dr, London, ON N6G 4N8",-81.2850467,43.01866301
"640 Adelaide St N, London, ON N6B 3K1",-81.23497703,42.99612345
"Kiwanis Park Dr, London, ON N5Y 0A4",-81.19171272,42.99541588
"33 Dengate Crescent, London, ON N5W 1V7",-88.4551947,41.38576609
"33 Dengate Crescent, London, ON N5W 1V7",-88.4550904,41.385933
"268 Herkimer St, London, ON N6C 4S4",-81.2295626,42.9657147
"43 Shaftesbury Ave, London, ON N6C 2Y5",-81.20962188,42.94899686
"Wavell St, London, ON N5W 5P4",-81.18096635,42.99689475
"156 Elliott St, London, ON N5Y 2E9",-81.23436,43.008958
"850 Sunninghill Ave, London, ON N6H 3L9",-81.29916202,42.96313422
"2803, 2815 Sunningdale Rd E, London, ON N5X 3Y7",-81.20181779,43.06682662
"825 Valetta St, London, ON N6H 2Z1",-81.30554407,42.97533974
"52 Maitland St, London, ON N6B 2X1",-81.23150544,42.97692237
"555 Wharncliffe Rd S, London, ON N6J 2N6",-81.26024325,42.9549594
"901-895 Wellington St, London, ON",-82.40044343,42.97163037
"231 Wharncliffe Rd S, London, ON N6J 2L3",-81.26762676,42.96794697
"276 Wharncliffe Rd N, London, ON N6H 2C3",-81.2663372,42.9923488
"207 Helena Ave, London, ON N5Z 3M4",-81.21689619,42.96422317
"150 Helena Ave, London, ON N5Z 3M2",-81.21689619,42.96422317
"170 Helena Ave, London, ON N5Z 3M2",-81.21689619,42.96422317
"520 Mornington Ave, London, ON N5Y 3E4",-81.21468303,43.00288199
"3P7,, 39 Chesterfield Ave, London, ON",-81.2191986,42.97353003
"1308 Norman Ave, London, ON N6K 2A3",-81.33425863,42.95500522
"155 Tweedsmuir Ave, London, ON N5W 1K9",-81.1846168,42.98105026
"50 Wychwood Park, London, ON N6G 1R6",-81.292411,43.003579
"420 Boler Rd, London, ON N6K 2K5",-81.329425,42.9561951
"256 Wharncliffe Rd S, London, ON N6J 2L4",-81.2614117,42.96921218
"543 Ridout St N, London, ON N6A 2P8",-81.25559862,42.98629694
"10 Hazelwood Ave, London, ON N6J 3J9",-81.27715531,42.96196133
"346 Platt's Ln, London, ON N6G 1J1",-81.27893492,42.99377005
"1221 Sandford St, London, ON N5V 2J8",-81.20414034,43.02030411
"649 Winblest Ave, London, ON N6C 3C6",-81.22957373,42.94458583
"149 Odessa Ave, London, ON N6J 2Z9",-81.27142219,42.95513668
"713 Butler Ave, London, ON N6J 2C2",-81.27433481,42.95119312
"10 Hazelwood Ave, London, ON N6J 3J9",-81.27389265,42.95821265
"652 Westwood Dr, London, ON N6K 1A7",-81.29997619,42.9585071
"50 Rollingwood Cir, London, ON N6G 1P7",-81.289171,43.002496
"600 Lawson Rd, London, ON N6G 4A3",-81.2990902,43.0010899
"2Z4, 881 Kelly St, London, ON",-81.3061772,42.97201618
"280 Maurice St, London, ON N6H 1C5",-81.27263859,42.98188853
"671 Viscount Rd, London, ON N6J 2Y4",-81.26975102,42.95081409
"350 Ridout St S Unit 1, London, ON N6C 3Z5",-81.2458251,42.9630279
"3 Glenroy Rd, London, ON N5Z 4H2",-81.1952364,42.9549179
"15 Holiday Ave, London, ON N6E 1M9",-81.22030081,42.92756733
"1948 Wavell St, London, ON N5V 4B7",-81.16786231,43.00227269
"85 Downing Crescent, London, ON N6C 3C7",-81.21318188,42.94846732
"418 Berkshire Dr, London, ON N6J 3S1",-81.28559394,42.96114666
"1207 Royal York Rd, London, ON N6H 3Y2",-81.32531761,42.97660706
"427 Village Green Ave, London, ON N6J 1Z1",-81.2844209,42.9525309
"2 Shady Ln, London, ON N5X 3N8",-81.27297352,43.02089987
"1030 Mitchell St, London, ON N6E 1J6",-81.22262949,42.93589444
"955 Willow Dr, London, ON N6E 1P2",-81.22070574,42.93914521
"699 Thornwood Dr, London, ON N6H 5S6",-81.29557947,42.9799814
"148 Pinewood Dr, London, ON N6J 3L2",-81.28341885,42.97160589
"65 Hartson Rd, London, ON N6H 3S7",-81.31753919,42.96180795
"580 Clarence St, London, ON N6A 3N1",-81.24844048,42.9892943
"1152 Fanshawe Park Rd E, London, ON N5X 3Z8",-81.23368943,43.04026727
"1308 Victoria Dr, London, ON N5Y 4E4",-81.2155706,43.0149207
"806 Victoria St, London, ON N5Y 4E1",-81.2359464,43.012516
"704 Algoma Pl, London, ON N5X 1W6",-81.24154199,43.03623654
"111 Wortley Rd, London, ON N6C 3P2",-81.25790729,42.97556268
"389 Dundas St, London, ON N6B 3L5",-80.76090222,43.12936778
"29 Brookside St, London, ON N5Z 3J4",-81.2255029,42.974344
"380 Admiral Dr, London, ON N5V 3C2",-81.16243053,42.99868832
"55 Carfrae St, London, ON N6C 1G2",-81.2451993,42.9747952
"1 Carfrae Crescent, London, ON N6C 4A8",-81.24532027,42.97457089
"1 Optimist Park Dr, London, ON N6K 4J8",-80.65834639,40.92468687
"1213 Oxford St W, London, ON N6H 1V8",-81.32398582,42.9745711
"7 Annadale Dr, London, ON N6G 2B5",-81.29962783,43.00532844
"427a Castlegrove Pl, London, ON N6G 1K7",-81.29357753,42.99378178
"266 Epworth Ave, London, ON N6A 2M3",-81.2590484,43.01138637
"5 St Lawrence Blvd, London, ON N6J 2W8",-81.26428582,42.94620203
"1443 Trafalgar St, London, ON N5W 1W7",-81.19177685,42.9882679
"580 Osgoode Dr, London, ON N6E 1B6",-81.2084565,42.9422272
"784 Viscount Rd, London, ON N6J 4E7",-81.27951914,42.95050353
"Stoneybrook Crescent, London, ON N5X 3V2",-81.26368875,43.02699751
"598 Upper Queen St, London, ON N6C 3T9",-81.23906816,42.94867059
"55 Heathdale Ct, London, ON N6K 4B1",-81.34422187,42.95752022
"323 Hudson Dr, London, ON N5V 1E4",-81.15631254,42.99026978
"225 Cairn St, London, ON N5Z 3W6",-81.20493157,42.96567578
"1375 Clarke Rd, London, ON N5V 5B4",-81.19204518,43.03262514
"108 Fairlane Ave, London, ON N6K 3E6",-81.3379019,42.9473746
"174 Wellington Rd, London, ON N6C 4N3",-81.23419893,42.96833039
"1A1, 625 Springbank Dr, London, ON",-81.29364615,42.96090632
"828 Nixon Ave, London, ON N6C 5A5",-81.23810947,42.94456217
"525 Hamilton Rd, London, ON N5Z 1S5",-81.21517913,42.98016606
"746 Fanshawe Park Rd E, London, ON N5X 2M5",-81.24729176,43.03988275
"202 Michaelmas St, London, ON N5Y 1N1",-81.222101,43.0133725
"1100 Victoria Dr, London, ON N5Y 4E2",-81.2252514,43.01347947
"16 Fernley Ave, London, ON N6H 2C8",-80.72849596,41.18180008
"1210 Adelaide St N, London, ON N5Y 4T6",-81.2475296,43.0208208
"925 Wonderland Rd S, London, ON N6K 3R5",-81.29410036,42.9426422
"28 Clarke Rd, London, ON N5W 5W6",-81.15955817,42.97401772
"90 MacKay Ave, London, ON N6J 2V6",-81.26703423,42.96250205
"85 Downing Crescent, London, ON N6C 3C7",-81.21083497,42.94730231
"Hamilton Rd, London, ON N5Z 1N7",-81.21608241,42.98479243
"5 Richmond St, London, ON N6B 3N9",-82.45174327,42.88868501
"1267 Richmond St, London, ON N6A 3L7",-81.26953908,43.01507192
"175 Whisperwood Ave, London, ON N6K 4C6",-81.32017298,42.94850821
"460 Third St, London, ON N5W 4W6",-82.37991495,42.96943834
"1286 Jalna Blvd, London, ON N6E 2R6",-81.23176123,42.92591131
"1119 Jalna Blvd, London, ON N6E 3B3",-81.228404,42.9314339
"1580 Culver Drive, London, ON N5V 3L6",-81.18308519,43.01000595
"1 Optimist Park Dr, London, ON N6K 4J8",-81.32235817,42.9431045
"141 Bonaventure Dr, London, ON N5V 4S6",-81.15787863,43.00329264
"190 Fleming Dr, London, ON N5V 4Z1",-81.19707197,43.01672318
"950 Lawson Rd, London, ON N6G 3M2",-81.30791922,42.99499274
"500 Hyde Park Rd, London, ON N6H 2Z9",-81.31654846,42.97091847
"1319 Aldersbrook Rd #1381, London, ON N6G 3J1",-81.31223399,42.9973913
"1844-1840 Ironwood Rd, London, ON N6K 5C7",-81.34593413,42.94882563
"710 Proudfoot Ln, London, ON N6H 5G5",-81.28935329,42.988274
"695 Proudfoot Ln, London, ON N6H 4Y7",-81.28831363,42.98565756
"76 Haliburton Crescent, London, ON N6K 2Y9",-81.32898764,42.94498826
"24 Braesyde Ave, London, ON N5W 1V3",-81.167784,42.9739441
"27 Hazelden Ln, London, ON N6H 4Z8",-81.31666463,42.96617503
"136 Cavendish Crescent, London, ON N6H 1B7",-81.26711499,42.98042972
"1200 Oxford St E, London, ON N5Y 3M3",-81.2121816,43.00971327
"449 Barker St, London, ON N5Y 5G9",-81.23395622,43.01824524
"320 Ferndale av, London, ON N6C 5P7",-81.25524658,42.95043778
"522 Dorinda St, London, ON N5W 4B4",-81.21828668,42.99704444
"990 Princess Ave, London, ON N5W 3M8",-81.21828668,42.99704444
"121 Ashley Crescent, London, ON N6E 3W2",-81.24071158,42.93849003
"1064 Colborne St, London, ON N6A 4B3",-81.8798007,42.9471268
"560 Bradley Ave, London, ON N6E 3Z8",-81.23270103,42.93479228
"910 Commissioners Rd W, London, ON N6K 1C1",-81.3130267,42.95395791
"12 Chesham Av, London, ON N6G 3S9",-81.28637346,42.99457255
"741 Lenore St, London, ON N6J 4A7",-81.26131716,42.94473918
"Hamilton Rd, London, ON N5W 6C2",-81.14372168,42.97958741
"2315 River Rd, London, ON N5W 6C4",-81.13399185,42.97847754
"799 Homeview Rd, London, ON N6C 5J4",-81.2524955,42.9428687
"483 Belvedere Pl, London, ON N6K 2G2",-81.33867544,42.95129296
"1468 Commissioners Rd W, London, ON N6K 1E6",-81.35159276,42.96537701
"Village Green Ave, London, ON N6K 1G6",-81.29770814,42.94899411
"69 Wellington St Unit A, London, ON N6B 2K4",-81.24212192,42.97415104
"1210 Adelaide St N, London, ON N5Y 4T6",-81.2475296,43.0208208
"2 Kenneth Ave, London, ON N6A 1R6",-81.24744252,42.99483398
"18 Wychwood Park, London, ON N6G 1R5",-81.29108178,42.99814345
